Item_ID	Verb	Complement	Sentence	Environment
52682:10	know	that they have like, uh, their, crime rate	but, i know that they have like, uh, their, crime rate,	
52990:6	know	0 there are some good places 0 * to go *-2 camping *t*-1 along the, uh, the lakes	i know 0 there are some good places 0 * to go *-2 camping *t*-1 along the, uh, the lakes.	
53109:6	know	0 you would *?*	i know 0 you would *?*.	
53219:6	know	0 lots of women would do it all the time	i know 0 lots of women would do it all the time.	
54374:6	know	0 the shiites are their people	i know 0 the shiites are their people.	
54771:6	know	0 i saw, yeah, something about it	i know 0 i saw, yeah, something about it.	
55330:59	know	0 a lot of this stuff that i was involved in *t*-1, never did make the newspapers	as a civilian that *t*-1's never been attached *-2 to any form of the military, i know 0 a lot of this stuff that i was involved in *t*-1, never did make the newspapers.	
55359:23	know	that they're supplying that many people with weapons	it *exp*-1's scary * to know that they're supplying that many people with weapons. especially when it's to the south of us *t*-2.	
55606:8	know	that i have *-1 to do it	but i know that i have *-1 to do it.	
55771:6	knew	0 i was pushing too far	i knew 0 i was pushing too far.	
56012:6	know	0 you've got *-1 to get past that, that grudge attitude that many have *t*-2	i know 0 you've got *-1 to get past that, that grudge attitude that many have *t*-2,	
56064:8	know	0 maryland does	and i know 0 maryland does,	
56116:73	realize	that hey, you know, this stuff runs out	it *exp*-1's just probably a good thing that the oil's burning and may, may, make some people realize that hey, you know, this stuff runs out.	
57941:8	realize	0 they're still saying, well here you're encouraging us to get rid *-1 of saddam hussein	and i realize 0 they're still saying, well here you're encouraging us to get rid *-1 of saddam hussein,	
58131:8	remember	0 a lot of it kind of stopped after that	and i remember 0 a lot of it kind of stopped after that.	
58824:6	know	0 it sounded strange to me too	i know 0 it sounded strange to me too,	
58862:6	know	0 we've got a good connection	i know 0 we've got a good connection,	
59151:6	know	0 when my mother's age it was always the kids and the family and everything 0 *t*-2 had *-1 to come first	i know 0 when my mother's age it was always the kids and the family and everything 0 *t*-2 had *-1 to come first	
59339:18	admit	0 most of that is, uh, strong personal distaste	and i have *-1 to admit 0 most of that is, uh, strong personal distaste.	
59572:119	knows	0 this guy's pretty good with it	and if they're sca-, if you got *-1 to go through a certification course *-1 to get where, to where you can carry it in public *t*-2, then this individual also knows 0 this guy's pretty good with it.	conditional
59672:6	know	0 my husband served on a, on a jury a few months ago up here in denton	i know 0 my husband served on a, on a jury a few months ago up here in denton,	
59794:6	know	0 people say, oh, 0 it *exp*-1 would be cruel * to, you know, pull our aid from these other countries	i know 0 people say, oh, 0 it *exp*-1 would be cruel * to, you know, pull our aid from these other countries	
59831:8	know	0 they're suffering	and i know 0 they're suffering	
59832:8	know	0 they're dying everyday	and i know 0 they're dying everyday,	
60090:9	remember	0 my brother, he came home	because i remember 0 my brother, he came home	
60541:6	knew	0 it would be different	i knew 0 it would be different from the very beginning,	
60889:11	know	0 out in some	well, i know 0 out in some,	
60900:6	know	0 we have a piece property there	i know 0 we have a piece property there,	
60990:11	realize	0 a cow, one cow produces that much manure	i didn't realize 0 a cow, one cow produces that much manure	negation
61161:11	know	that he could really get killed *-1 that easily	i don't know that he could really get killed *-1 that easily because he is so big.	negation
61276:11	know	0 it has *-1 to be *?*	oh, i know 0 it has *-1 to be *?*.	
61299:8	knew	0 we were going *-1 to find him	and i knew 0 we were going *-1 to find him, you know,	
61370:6	know	that i'd be worried, too	i know that i'd be worried, too.	
61385:16	know	0 sometimes our cat will, will stay out all night	you know, i know 0 sometimes our cat will, will stay out all night,	
61662:6	knew	0 something was wrong with him	i knew 0 something was wrong with him because his appetite was,	
61931:11	admit	that up until i did start *-1 using one, uh, it was, i had very little interest in computers	and i must admit that up until i did start *-1 using one, uh, it was, i had very little interest in computers.	
61979:13	know	that it *exp*-1 might do them a little bit of good * to see the world from a different perspective	and i don't know that it *exp*-1 might do them a little bit of good * to see the world from a different perspective.	negation
62001:6	know	that, uh, my sister	i know that, uh, my sister,	
62024:6	know	that also one of my cousins who, uh, *t*-1 he is in like the therapy type thing	i know that also one of my cousins who, uh, *t*-1 he is in like the therapy type thing	
62116:32	know	that you could require everyone to, do that for, yeah, to do it for a whole year, or two years or something like that	i don't, i don't know that you could require everyone to, do that for, yeah, to do it for a whole year, or two years or something like that,	
62125:11	know	that that would work	i don't know that that would work if, somebody's, was, didn't really want *-1 to be there and didn't have,	negation
62151:11	know	that it does	i don't know that it does.	negation
62152:28	know	that, um, if you step back from the current issue and look at it more intellectually, there are forever over, as long as we know 0 there are races of people that *t*-1 are dropping out	i, i, don't know that, um, if you step back from the current issue and look at it more intellectually, there are forever over, as long as we know 0 there are races of people that *t*-1 are dropping out.	negation
62152:111	know	0 there are races of people that *t*-1 are dropping out	i, i, don't know that, um, if you step back from the current issue and look at it more intellectually, there are forever over, as long as we know 0 there are races of people that *t*-1 are dropping out.	conditional
62222:71	realize	0 it *exp*-1's everybody's responsibility * to, um, help these people	but i think that it *exp*-2 wouldn't really be half bad for everybody not to do something, you know, and realize 0 it *exp*-1's everybody's responsibility * to, um, help these people, you know,	
62232:16	know	0 that's what my father-in-law was talking about *t*-2	i mean, i know 0 that's what my father-in-law was talking about *t*-2, you know,	
62579:19	knew	0 we were buying a copy	in our case where we knew 0 we were buying a copy *t*-1	
63030:8	know	0 if i would just get around to exercising i'd feel better	and i know 0 if i would just get around to exercising i'd feel better.	
63062:26	know	that it's good for my health	and i, and i know that it's good for my health.	
63286:11	remember	0 back when gas prices started up, you know, pretty dramatically *t*-1 when they started *-3 getting toward a dollar a gallon range *t*-2, somebody had, uh	i kind of remember 0 back when gas prices started up, you know, pretty dramatically *t*-1 when they started *-3 getting toward a dollar a gallon range *t*-2, somebody had, uh,	
63385:6	remember	0 that stink came around in the design area a few years back when it was 0 all overseas designs were in microns *t*-1	i remember 0 that stink came around in the design area a few years back when it was 0 all overseas designs were in microns *t*-1	
63412:11	noticed	0 in canada they, uh, you drop a quarter, fifty cents, whatever, in a coke machine up there	and also i noticed 0 in canada they, uh, you drop a quarter, fifty cents, whatever, in a coke machine up there,	
63559:50	know	0 it that far	every road sign 0 you come to *t*-1, is like, well i don't know 0 it that far.	negation
63580:6	know	0 the only other place that i was ever at *t*-1 where they really had it mixed *t*-2 was, was in panama, where's a lot of the road signs and everything are in, in miles per hour *t*-3	i know 0 the only other place that i was ever at *t*-1 where they really had it mixed *t*-2 was, was in panama, where's a lot of the road signs and everything are in, in miles per hour *t*-3	
63718:13	realize	0 that was the biggest waste of water	but i didn't realize 0 that was the biggest waste of water.	negation
63732:13	realize	that our garbage isn't being decomposed *-1	but i didn't realize that our garbage isn't being decomposed *-1.	negation
64433:6	know	0 this sounds like a texas story	i know 0 this sounds like a texas story,	
65200:40	know	that when i, you know, when i get his book *t*-2 i'm, i'm usually going *-1 to enjoy it	and, um, you know, i, i know that when i, you know, when i get his book *t*-2 i'm, i'm usually going *-1 to enjoy it.	
65872:57	knew	0 it *exp*-2 would be easier * to go ahead and get them and establish credit early	so i went ahead, and accepted every one that i was offered *-3 *t*-1. because i knew 0 it *exp*-2 would be easier * to go ahead and get them and establish credit early.	
66022:6	know	0 they're selling out somebody in colorado springs	i know 0 they're selling out somebody in colorado springs.	
66272:24	know	0 *t*-1 we have a real problem with overcrowding in prisons	and, uh, here in maryland i know 0 *t*-1 we have a real problem with overcrowding in prisons,	
66352:18	remember	that it, it, it, uh, there's, i think, x number of people out there that *t*-2 are going *-3 to commit murders	and you have *-1 to remember that it, it, it, uh, there's, i think, x number of people out there that *t*-2 are going *-3 to commit murders,	
66427:6	know	0 it's	you know 0 it's,	
66679:11	know	0 i need *-1 to *?*	i just, know 0 i need *-1 to *?*.	
67216:31	noticed	0 it's had a good effect on my pulse rate, my resting pulse	i've, i've definitely noticed 0 it's had a good effect on my pulse rate, my resting pulse.	
67603:99	discovered	that he could swim	but, uh, this dog, dennis jumped in and got this look on his face like what do i do *t*-1 now, as he's floating down the river then finally discovered that he could swim and, uh, actually paddled up against the current and, uh, made it back to the shore and climbed up	
67983:6	knew	0 it was there	i knew 0 it was there	
68065:8	knows	0 he has *-1 to *?*	and he knows 0 he has *-1 to *?*	
68066:8	knows	0 he should *?*	and he knows 0 he should *?*	
68321:23	know	0 they automatically	and i, i know 0 they automatically,	
69154:11	know	that i believe 0 every secretary in every company needs *-1 to be *?* *-2	i don't know that i believe 0 every secretary in every company needs *-1 to be *?* *-2.	negation
69835:11	realize	that dallas had that same problem	i didn't realize that dallas had that same problem.	negation
70571:74	realized	0 we could never buy a house anyway no matter how much we saved *t*-2	so, we virtually did that for about two years, which *t*-1 worked real well, and then moved from california where we realized 0 we could never buy a house anyway no matter how much we saved *t*-2 *t*-6, and moved to texas, bought a house *ich*-5 immediately, you know, which *t*-3, of course, is now devalued *-4 with the housing market,	conditional
70687:21	realize	that, that is realistic for some people	well, uh, but i do realize that, that is realistic for some people,	
70929:6	know	0 in the state of florida just today, uh, the, the legislature, uh, adjourned	i know 0 in the state of florida just today, uh, the, the legislature, uh, adjourned,	
71186:11	discovered	that, uh, impatiens that tried and true *ich*-3 is, turns out *-2 to be about the best thing 0 * to use *t*-1 there along with coleus. because they, uh, look pretty and, in my front garden	so i've discovered that, uh, impatiens that tried and true *ich*-3 is, turns out *-2 to be about the best thing 0 * to use *t*-1 there along with coleus. because they, uh, look pretty and, in my front garden, uh,	
71269:13	know	0 i love them	well, and i know 0 i love them,	
71531:11	know	0 i'm looking forward to *-1 getting back into *-2 getting into shape	um, i know 0 i'm looking forward to *-1 getting back into *-2 getting into shape,	
71728:30	know	0 there's purple, gray, and, uh, green	uh, there's like, i know 0 there's purple, gray, and, uh, green.	
71967:46	realizing	0 that's probably not going *-1 to be possible, um, for middle-class people to be able *-2 to live just on one income	but realistically that's, i'm, i'm realizing 0 that's probably not going *-1 to be possible, um, for middle-class people to be able *-2 to live just on one income.	
72110:30	know	0 it's	so, you know, i don't know 0 it's, i don't know that that trend's going *-1 to change the single parent type families	negation
72559:6	know	0 the whole situation is bad up here	i know 0 the whole situation is bad up here,	
50845:28	know	that there are some type of programs that they have *t*-1 available for a youth, like teenagers to go and do, um, work in the national parks and work in, uh, neighborhoods *-2 to do, um, clean up and that sort of thing	um, well, like i say, i know that there are some type of programs that they have *t*-1 available for a youth, like teenagers to go and do, um, work in the national parks and work in, uh, neighborhoods *-2 to do, um, clean up and that sort of thing.	
59642:13	know	that that's not a good idea	and i don't know that that's not a good idea.	negation
67191:62	discovered	0 all my friends were basically biking a lot	i guess 0 i just never really thought about it much for a while, uh, until i suddenly discovered 0 all my friends were basically biking a lot.	
71660:6	know	0 it ju-	i know 0 it ju-,	
71780:34	noticed	0 at our health club they will put on these computerized one, these computerized machines,	well, they, um, i just noticed 0 at our health club they will put on these computerized one, these computerized machines,	
72570:6	know	0 things are pretty booming down there	i know 0 things are pretty booming down there.	
72769:6	know	0 if you don't, then they're adding on, what, eighteen, nineteen, twenty percent	* know 0 if you don't, then they're adding on, what, eighteen, nineteen, twenty percent.	
72836:75	know	that somebody every month	and, uh, but, it, you know, you kind of, you know that somebody every month,	
73082:13	realize	0 that's true	well, i realize 0 that's true	
73177:28	know	0 *t*-1	* taking care of a baby, i know 0 *t*-1, is not an easy thing,	
73780:24	remember	0 as a child, you know, nobody ever worried about me wondering out at night and going where i wanted *-1 to go *t*-2	i, i can remember 0 as a child, you know, nobody ever worried about me wondering out at night and going where i wanted *-1 to go *t*-2.	
74120:8	realize	0 it *exp*-1's important that, uh	and you realize 0 it *exp*-1's important that, uh,	
74947:18	remember	0 ten years ago i was just beginning *-1 to explore *-2 computerizing my office and, and trying *-1 to find out what kinds of computers *t*-3 might be useful	and, i can very clearly remember 0 ten years ago i was just beginning *-1 to explore *-2 computerizing my office and, and trying *-1 to find out what kinds of computers *t*-3 might be useful	
75166:8	know	that the expectation for them was, uh, * to have sex and, much earlier, than the expectation when i was in college *t*-1	and i know that the expectation for them was, uh, * to have sex and, much earlier, than the expectation when i was in college *t*-1.	
75254:6	know	0 that's what, uh, what my family was talking *t*-1 when i picked up and moved to texas from indiana *t*-2	i know 0 that's what, uh, what my family was talking *t*-1 when i picked up and moved to texas from indiana *t*-2	
75435:26	know	0 you can't be a hundred percent foolproof	course, i, i know 0 you can't be a hundred percent foolproof.	
75458:11	know	0 in my case, i, my wife and daughter were kidnapped *-1, during a house robbery back in eighty-five	uh, i know 0 in my case, i, my wife and daughter were kidnapped *-1, during a house robbery back in eighty-five	
75926:17	know	that you did it in such an inexpensive way	and what satisfaction * to know that you did it in such an inexpensive way.	
75938:6	know	0 my parents bought a house about ten years ago	i know 0 my parents bought a house about ten years ago,	
76173:68	recognize	that there is a problem	um, and, it's seen *-1 more so because when you call parents up *t*-2, many parents won't even recognize that there is a problem	
76177:39	know	that teachers talk	and, and, you wonder, don't these parents know that teachers talk,	question
76214:6	know	0 what *t*-1 scares me too, is that we have yet *-2 to see other, the biggest effect of the crack children uh, in the school system	you know 0 what *t*-1 scares me too, is that we have yet *-2 to see other, the biggest effect of the crack children uh, in the school system.	
76289:6	remember	0 i had a college professor who *t*-1 once said that genius is one percent inspiration, and ninety-nine percent perspiration	i remember 0 i had a college professor who *t*-1 once said that genius is one percent inspiration, and ninety-nine percent perspiration.	
76294:8	know	that there were a lot of kids that *t*-1 were an awful lot smarter than me	and i know that there were a lot of kids that *t*-1 were an awful lot smarter than me,	
76788:11	know	0 i've seen, the sign somewhere	um. i know 0 i've seen, the sign somewhere.	
76906:11	know	0 it did it all february	uh, i know 0 it did it all february.	
76911:11	know	0 you, need *-1 to go	well, i know 0 you, need *-1 to go.	
77106:6	know	0 my parents are growing up	i know 0 my parents are growing up,	
77751:6	noticed	that one thing that, that t i did *t*-2	i noticed that one thing that, that t i did *t*-2,	
77853:8	know	0 they do van pool a lot here from some of the outer areas	and i know 0 they do van pool a lot here from some of the outer areas,	
77960:9	know	0 both of my kids didn't want *-1 to live anywhere around the, the downtown areas	well i know 0 both of my kids didn't want *-1 to live anywhere around the, the downtown areas,	
78259:6	know	that, uh, uh, one of, one thing that *t*-1 happens to us to vacation trips now is that usually that try to involve some of the members of the family	i know that, uh, uh, one of, one thing that *t*-1 happens to us to vacation trips now is that usually that try to involve some of the members of the family.	
78743:11	know	0 if enough people think like that it, you know, would make a difference, if people stopped *-1 thinking like that	oh, i know 0 if enough people think like that it, you know, would make a difference, if people stopped *-1 thinking like that.	
78774:6	know	0 a lot of wives feel like they have *-1 to vote the way that their husbands vote *t*-2	i know 0 a lot of wives feel like they have *-1 to vote the way that their husbands vote *t*-2.	
78939:6	remember	0 when he was in office *t*-1 he did a lot of stuff for the middle east, for pe-	you remember 0 when he was in office *t*-1 he did a lot of stuff for the middle east, for pe-,	
79319:31	noticed	that she was having pro-, uh, problems *-2 limping and so forth	when she was about three years old *t*-1 we noticed that she was having pro-, uh, problems *-2 limping and so forth	
79417:11	noticed	0 after two shots she was	and then i noticed 0 after two shots she was,	
79545:30	noticed	0 those dogs, dogs are so well trained	and my neighbor said to me, oh, i noticed 0 those dogs, dogs are so well trained,	
79596:21	know	0 you did your part	oh, well, at least you know 0 you did your part.	
79607:11	knew	that i had the time and would be, would enjoy it	and so she knew that i had the time and would be, would enjoy it.	
79986:6	notice	0 if you, uh, if you stay in shape you don't age as bad	i notice 0 if you, uh, if you stay in shape you don't age as bad,	
80148:20	know	0 it's good for me	and, you know, i know 0 it's good for me,	
80210:11	know	0 it did that	i didn't know 0 it did that.	negation
80221:9	know	0 dogs can get you on a bike too	course i know 0 dogs can get you on a bike too,	
80448:8	know	0 the house, um, was built *-1 around the mid fifties	and i know 0 the house, um, was built *-1 around the mid fifties.	
80491:12	discover	0 you like it	and if you discover 0 you like it then you can always upscale.	conditional
80668:16	know	that the coverage 0 he was allowed *-1 to present *t*-2 was slanted	well, uh, i know that the coverage 0 he was allowed *-1 to present *t*-2 was slanted,	
81120:26	know	0 you'd know his name, because he's played in a few movies	if i could remember the name, i know 0 you'd know his name, because he's played in a few movies.	conditional
81138:6	know	0 pretty woman was kind of a light comedy and a romance	you know 0 pretty woman was kind of a light comedy and a romance,	
81191:9	know	0 it hasn't been that long since i've seen the previews for it	well i know 0 it hasn't been that long since i've seen the previews for it,	
81249:8	know	that they die	so i know that they die,	
81302:6	know	0 it's going *-1 to be on, on the, on c b s tuesday night	i know 0 it's going *-1 to be on, on the, on c b s tuesday night	
81519:18	noticed	0 the houses around here are basically, it's one story and they're all basically two, uh, bath, two, uh, with three bedrooms	but, uh, i've noticed 0 the houses around here are basically, it's one story and they're all basically two, uh, bath, two, uh, with three bedrooms.	
81547:49	discover	0 you're in two inches of water	so you're just as likely *-1 to fl-, wake up and discover 0 you're in two inches of water.	
81859:11	know	0 what they've started *-1 doing *t*-2 is, is 0 instead of the tail pipes being at the bottom of those buses they've started *-3 putting them up at the top	well, you know 0 what they've started *-1 doing *t*-2 is, is 0 instead of the tail pipes being at the bottom of those buses they've started *-3 putting them up at the top,	
82026:6	know	0 texas is supposed *-1 to be flat	i know 0 texas is supposed *-1 to be flat,	
82033:8	know	0 my grandparents live in durant	do you know 0 my grandparents live in durant?	question
82322:20	know	0 there are some days when she wi-, she wishes 0 she was back at work *t*-1	but, you know, i know 0 there are some days when she wi-, she wishes 0 she was back at work *t*-1.	
82461:6	know	0 my husband was real	i know 0 my husband was real, uh,	
83086:11	know	0 in some cases now in some states, depending on the criminal code, uh, a unanimous verdict is not required *-1	uh, i know 0 in some cases now in some states, depending on the criminal code, uh, a unanimous verdict is not required *-1.	
83170:6	know	0 one of my friends was, uh, uh, brought *-1 up for jury duty	i know 0 one of my friends was, uh, uh, brought *-1 up for jury duty.	
83187:8	know	0 you have a right * to ask for a jury in, in any sort of a case that even where damages are, are, are, uh, are the result of some sort of a, uh, an action that you are bringing *t*-1 against someone else *t*-2. you can ask for that to be heard *-4 before a jury	but i know 0 you have a right * to ask for a jury in, in any sort of a case that even where damages are, are, are, uh, are the result of some sort of a, uh, an action that you are bringing *t*-1 against someone else *t*-2. you can ask for that to be heard *-4 before a jury.	
84040:13	know	that these hyacinths	but i did not know that these hyacinths,	negation
84042:11	know	0 the hya-, hyacinths were going *-1 to die	i did not know 0 the hya-, hyacinths were going *-1 to die.	negation
84581:8	know	0 i never felt	and i know 0 i never felt,	
84786:6	remember	0 my parents didn't do all those type things	i remember 0 my parents didn't do all those type things,	
84798:14	remember	0 one of the things 0 i'm most proud of *t*-1 is, uh, when my son was	well, i can remember 0 one of the things 0 i'm most proud of *t*-1 is, uh, when my son was,	
84943:6	know	0 in florida there's no place 0 you go *t*-2 that *t*-1 isn't air conditioned	i know 0 in florida there's no place 0 you go *t*-2 that *t*-1 isn't air conditioned,	
85942:26	know	0 they're not going *-1 to get pa-, you know, get money from them	and so they, they know 0 they're not going *-1 to get pa-, you know, get money from them	
86701:6	remember	0 i had an old uncle up by tulsa, oklahoma that *t*-1 took me out and, uh, showed me	i remember 0 i had an old uncle up by tulsa, oklahoma that *t*-1 took me out and, uh, showed me.	
86935:6	recognize	0 there's, there's over crowding problems	i recognize 0 there's, there's over crowding problems	
87097:30	admit	that as you say when your children start *-2 taking up your time *t*-1, then you, you don't have as much time for, uh, regular entertaining	but, um, and i must admit that as you say when your children start *-2 taking up your time *t*-1, then you, you don't have as much time for, uh, regular entertaining,	
87467:8	knew	that she wasn't going *-1 to come back	and they knew that she wasn't going *-1 to come back,	
87603:48	know	0 i'm a real, a real, uh, out of it in terms of taxes	and, and, uh, and, uh, i know 0 i'm a real, a real, uh, out of it in terms of taxes	
87635:22	realizing	that that, that, that quality of schools might well have higher taxes than other places but that we were willing to, uh, *-1 to go for that, because we supported the	and, and * realizing that that, that, that quality of schools might well have higher taxes than other places but that we were willing to, uh, *-1 to go for that, because we supported the,	
87994:21	know	0 you always have conflict in the world	so there possibly were because you know 0 you always have conflict in the world.	
88415:20	know	0 i think 0 we have just become really spoiled	so, um, i don't know 0 i think 0 we have just become really spoiled.	negation
88675:64	know	0 it that meant 0 you had *-1 to drive like an hour	when you said 0 it was quite a, quite a way away *t*-2, i did not know 0 it that meant 0 you had *-1 to drive like an hour	negation
88955:13	know	that i don't follow performers	um, do you know that i don't follow performers,	question
89206:6	realize	that he would like his career to develop	i realize that he would like his career to develop,	
89399:16	know	that this one was built *-1 for two ninety nine, which *t*-2 is nowhere near what we paid *t*-3 for it	well but, still i know that this one was built *-1 for two ninety nine, which *t*-2 is nowhere near what we paid *t*-3 for it.	
89426:14	know	0 our, our little house over here stuck * in the middle of, you know, the subdivision is, i think fifty five	well because, i know 0 our, our little house over here stuck * in the middle of, you know, the subdivision is, i think fifty five,	
89800:11	know	that there are some wonderful places out there	but i do know that there are some wonderful places out there	
89840:37	remember	0 she had several strokes	and, uh, i ca-, i can remember 0 she had several strokes	
90257:69	know	0 i have a sister who *t*-1 has the other extreme	and i, and i thank god 0 i'm here, because i, i know 0 i have a sister who *t*-1 has the other extreme.	
90351:6	know	0 steven probably would not be accepted *-1 because he has a learning disability and, into a private school. and, um, which *t*-3 is, which *t*-2 is too bad	i know 0 steven probably would not be accepted *-1 because he has a learning disability and, into a private school. and, um, which *t*-3 is, which *t*-2 is too bad.	
90906:8	know	that the s a t scores for our admitting freshmen are higher than a lot of the public sch-, a lot of the private schools	and i know that the s a t scores for our admitting freshmen are higher than a lot of the public sch-, a lot of the private schools.	
91057:46	know	that at, at, at university of maryland where i am *t*-1, you know, in a p h d program, i, i haven't even met, uh, someone outside of my area of information systems except for	but, you know, at some of the large schools, i know that at, at, at university of maryland where i am *t*-1, you know, in a p h d program, i, i haven't even met, uh, someone outside of my area of information systems except for,	
91314:8	remember	0 that was the book	but i remember 0 that was the book.	
91339:81	know	0 i'm not going *-1 to be doing anything for a while	when if, if i have long periods of time, like christmas vacation, or, you know, when i know 0 i'm not going *-1 to be doing anything for a while *t*-2, um,	conditional
92275:31	know	0 *t*-2	it's going *-1 to be history, i know 0 *t*-2.	
92537:33	know	0 *t*-1	i don't have time *-2 to sit, i know 0 *t*-1.	
92827:18	know	that that's, it's the right way	but i think 0 they know that that's, it's the right way.	
93454:100	know	that it's exercise	i think 0 that's the basic point of it, is 0 i'm not, i, i don't enjoy it if i know that it's exercise,	conditional
93468:18	know	that it's exercise	i have *-1 to not know that it's exercise so i can do it.	negation
93532:26	knowing	that i need exercise	i'm getting better about this * knowing that i need exercise and doing it,	
93649:22	know	0 in the push up, at least, you can get chest muscles and the back of your arms quite built up *-1 just doing push ups	you can, i know 0 in the push up, at least, you can get chest muscles and the back of your arms quite built up *-1 just doing push ups.	
94317:47	know	that they have other family	and it's, it *exp*-1's good for kids to know that they have other family.	
94751:11	know	that when my youngsters were small *t*-1	well, i know that when my youngsters were small *t*-1,	
94830:8	knew	0 it was time 0 * to go back to work *t*-1	so i knew 0 it was time 0 * to go back to work *t*-1.	
95384:57	know	that i was chosen *-1 at random by a computer	i would, i would rather *ich*-2 have it that way, * to know that i was chosen *-1 at random by a computer than * to think that somebody turned me in because i, i think 0 there's, when you let other employees turn in people *t*-3,	
95406:104	knew	0 *t*-2 was using either illegal drugs or abusing alcohol	and i guess 0 you'd report that to a supervisor, maybe anonymously or something because i, i would feel very uncomfortable *-1 working with someone 0 i knew 0 *t*-2 was using either illegal drugs or abusing alcohol,	
95509:16	know	0 you don't	you know, you know 0 you don't,	
96245:20	know	0 *t*-1	in years past, i know 0 *t*-1, in fact, even, even the word drafter has changed,	
96448:11	know	that there, now there, they want the armed forces to recognize that women can serve in combat roles	because, i know that there, now there, they want the armed forces to recognize that women can serve in combat roles.	
96448:58	recognize	that women can serve in combat roles	because, i know that there, now there, they want the armed forces to recognize that women can serve in combat roles.	
96462:25	know	0 some of the other services do not think that women are capable of *-1 doing the job	and so. but i know 0 some of the other services do not think that women are capable of *-1 doing the job.	
96767:6	know	0 that day will come	i know 0 that day will come,	
96891:28	know	that in * raising my boys, i really did meet a lot of pressures saying, you know, you need *-1 to get them into music lessons	but, i, i do know that in * raising my boys, i really did meet a lot of pressures saying, you know, you need *-1 to get them into music lessons,	
97488:11	know	0 that works until they start school	we-, you know 0 that works until they start school.	
97687:8	know	that they can, uh, you know, uh, be on the same level	and they know that they can, uh, you know, uh, be on the same level.	
98605:6	know	0 it *exp*-1's hard * to prove rape and whatnot	i know 0 it *exp*-1's hard * to prove rape and whatnot	
98639:20	know	that juries have a right * to know more	and, uh, i don't know that juries have a right * to know more because in a sense we call those safeguards,	negation
98719:41	know	0 it's always cold	well, of course, you've been at clark enough that you know 0 it's always cold.	
98807:34	know	that that looks that bad	and, and, uh, i don't know that that looks that bad.	negation
98843:37	know	0 you're going there	and so you try *-1 to maybe follow those if you know 0 you're going there,	conditional
99175:13	know	0 *t*-1	some schools i know 0 *t*-1 give, uh, oh,	
99244:39	know	0 the summers get hot	so, uh, but, you know, i know 0 the summers get hot	
99422:35	know	that there were all those lakes out there	and i think 0 a lot of people didn't really know that there were all those lakes out there unless you were from that area and kind of spotted them,	
99696:11	know	0 our neighbors, when we first went to this bin program *t*-1 said, oh, there's no way, you know 0 we're going *-2 to have *-3 to have pickup twice a week *t*-4	um, i know 0 our neighbors, when we first went to this bin program *t*-1 said, oh, there's no way, you know 0 we're going *-2 to have *-3 to have pickup twice a week *t*-4.	
99791:31	realize	0 even just your small contribution	and they said something about how you don't realize 0 even just your small contribution *t*-1,	negation
100012:36	realize	that their diet is that bad	so often i think though, 0 *t*-1 elderly people don't realize that their diet is that bad.	negation
100078:10	remember	0 from her checking around, she ended up *-1 staying at the arkansas house i think 0 *t*-2 out in arlington, something like that	but, i remember 0 from her checking around, she ended up *-1 staying at the arkansas house i think 0 *t*-2 out in arlington, something like that.	
100106:6	know	0 when my friend's mother-in-law first went in *t*-1	i know 0 when my friend's mother-in-law first went in *t*-1,	
100222:6	know	0 they're really proud of independence	i know 0 they're really proud of independence.	
100340:16	know	0 through some organized groups like scouts and church um, they, do still have opportunities	um, but i do know 0 through some organized groups like scouts and church um, they, do still have opportunities.	
100388:8	know	0 there is the possibility that it could be out of the area	so i know 0 there is the possibility that it could be out of the area.	
100469:6	know	0 our church youth group, uh, starts with projects * young	i know 0 our church youth group, uh, starts with projects * young	
101501:47	know	0 we're not going *-1 to eat	so, or i give it to my mom and dad if i know 0 we're not going *-1 to eat,	conditional
101971:6	know	0 they do do some, they do have some classes *ich*-3 *ich*-4 in, um, high schools and things for kids 0 *t*-1 to, uh, give them an idea of what family life is like *t*-2 and the, uh, you know, and, uh, that kind of thing	i know 0 they do do some, they do have some classes *ich*-3 *ich*-4 in, um, high schools and things for kids 0 *t*-1 to, uh, give them an idea of what family life is like *t*-2 and the, uh, you know, and, uh, that kind of thing	
102710:25	knowing	0 you're going *-3 to be sitting there there for an hour * waiting *-4 to get in	so you have *-1 to go *-2 knowing 0 you're going *-3 to be sitting there there for an hour * waiting *-4 to get in.	
103023:8	know	0 in some areas, it's really, it, it really is bad	but i know 0 in some areas, it's really, it, it really is bad.	
103126:11	know	0 it's mumblex, um	well, i know 0 it's mumblex, um,	
103222:6	know	0 i was part of the me generation	i know 0 i was part of the me generation where they didn't, mumblex so many of them didn't, people didn't care *t*-1.	
103331:27	know	0 there there is always that chance	i i mean you know 0 there there is always that chance	
103338:50	know	0 *t*-1 is guilty	and, and when you find someone like that, that you know 0 *t*-1 is guilty *t*-2, he confessed already to * killing eleven i, i'd, you know, i guess 0 i have a hard time * feeling merciful toward him,	
103384:18	know	that they are notorious for *-1 paroling people	but, uh, i do know that they are notorious for *-1 paroling people.	
